Table,State_Code,District_Code,District_Name,Rural_or_Urban,Literacy,Total_Population,Male_Population,Female_Population,Total_Main_Workers,Total_Main_Male_Workers,Total_Main_Female_Workers,Total_Marginal_Workers,Total_Marginal_Male_Workers,Total_Marginal_Female_Workers,Seeking_Total_Workers,Seeking_Male_Workers,Seeking_Female_Workers,Total_Person_Nonworkers,Total_Male_Nonworkers,Total_Female_Nonworkers,Total_Person_Nonworkers_Seeking,Total_Male_Nonworkers_Seeking,Total_Female_Nonworkers_Seeking
B0103,09,171,District - Chitrakoot,Total,Technical degree or diploma equal to degree or post-graduate degree,3168,2571,597,1753,1531,222,179,146,33,117,103,14,1236,894,342,423,340,83
B0103,09,171,District - Chitrakoot,Rural,Total,895398,476794,418604,259462,188549,70913,107308,43176,64132,38221,24602,13619,528628,245069,283559,20225,10552,9673
B0103,09,171,District - Chitrakoot,Rural,Illiterate,427706,183292,244414,116230,64861,51369,58902,14022,44880,17541,7944,9597,252574,104409,148165,5243,1121,4122
B0103,09,171,District - Chitrakoot,Rural,Literate,467692,293502,174190,143232,123688,19544,48406,29154,19252,20680,16658,4022,276054,140660,135394,14982,9431,5551
B0103,09,171,District - Chitrakoot,Rural,Literate but below matric/secondary,347581,203527,144054,84551,70697,13854,34259,19361,14898,13886,10907,2979,228771,113469,115302,7688,4149,3539
B0103,09,171,District - Chitrakoot,Rural,Matric/secondary but below graduate,79532,59317,20215,35760,32857,2903,9072,6441,2631,4352,3709,643,34700,20019,14681,4639,3314,1325
B0103,09,171,District - Chitrakoot,Rural,Technical diploma or certificate not equal to degree,182,171,11,83,81,2,9,8,1,4,3,1,90,82,8,20,19,1
B0103,09,171,District - Chitrakoot,Rural,Graduate and above other than technical degree,22072,18293,3779,13860,12662,1198,2260,1767,493,1269,1136,133,5952,3864,2088,1789,1369,420
B0103,09,171,District - Chitrakoot,Rural,Technical degree or diploma equal to degree or post-graduate degree,2039,1744,295,1114,1012,102,165,135,30,106,94,12,760,597,163,277,238,39
B0103,09,171,District - Chitrakoot,Urban,Total,96332,50927,45405,23152,20347,2805,4275,2905,1370,2422,1777,645,68905,27675,41230,4521,2471,2050
B0103,09,171,District - Chitrakoot,Urban,Illiterate,32952,14090,18862,5185,3755,1430,1915,927,988,1041,566,475,25852,9408,16444,833,214,619
B0103,09,171,District - Chitrakoot,Urban,Literate,63380,36837,26543,17967,16592,1375,2360,1978,382,1381,1211,170,43053,18267,24786,3688,2257,1431
B0103,09,171,District - Chitrakoot,Urban,Literate but below matric/secondary,34367,18997,15370,6808,6366,442,1413,1171,242,846,742,104,26146,11460,14686,1221,722,499
B0103,09,171,District - Chitrakoot,Urban,Matric/secondary but below graduate,16864,9920,6944,5324,4997,327,510,439,71,307,270,37,11030,4484,6546,1189,731,458
B0103,09,171,District - Chitrakoot,Urban,Technical diploma or certificate not equal to degree,123,111,12,69,66,3,2,2,0,1,1,0,52,43,9,18,14,4
B0103,09,171,District - Chitrakoot,Urban,Graduate and above other than technical degree,8428,5557,2871,4230,3817,413,230,194,36,140,122,18,3968,1546,2422,982,610,372
B0103,09,171,District - Chitrakoot,Urban,Technical degree or diploma equal to degree or post-graduate degree,1129,827,302,639,519,120,14,11,3,11,9,2,476,297,179,146,102,44
B0103,09,172,District - Fatehpur,Total,Total,2632733,1384722,1248011,670156,521433,148723,393773,192303,201470,164521,107929,56592,1568804,670986,897818,105338,53142,52196
B0103,09,172,District - Fatehpur,Total,Illiterate,1120567,473719,646848,240094,146746,93348,186998,58553,128445,68180,32248,35932,693475,268420,425055,23436,6263,17173
B0103,09,172,District - Fatehpur,Total,Literate,1512166,911003,601163,430062,374687,55375,206775,133750,73025,96341,75681,20660,875329,402566,472763,81902,46879,35023
B0103,09,172,District - Fatehpur,Total,Literate but below matric/secondary,1024727,593039,431688,232747,199976,32771,139019,87708,51311,62886,49066,13820,652961,305355,347606,36974,20169,16805
B0103,09,172,District - Fatehpur,Total,Matric/secondary but below graduate,327052,211534,115518,121292,109490,11802,45721,31457,14264,22531,18127,4404,160039,70587,89452,30041,17818,12223
B0103,09,172,District - Fatehpur,Total,Technical diploma or certificate not equal to degree,1064,925,139,507,470,37,79,71,8,43,40,3,478,384,94,165,138,27
B0103,09,172,District - Fatehpur,Total,Graduate and above other than technical degree,96102,65543,30559,49067,42865,6202,10696,7481,3215,5758,4527,1231,36339,15197,21142,10863,6389,4474
B0103,09,172,District - Fatehpur,Total,Technical degree or diploma equal to degree or post-graduate degree,6924,5322,1602,3669,3110,559,525,414,111,300,257,43,2730,1798,932,1048,766,282
B0103,09,172,District - Fatehpur,Rural,Total,2310740,1215690,1095050,594710,455639,139071,370104,176927,193177,152983,99210,53773,1345926,583124,762802,80769,40274,40495
B0103,09,172,District - Fatehpur,Rural,Illiterate,1011998,425214,586784,222957,133435,89522,177540,53699,123841,63941,29433,34508,611501,238080,373421,18932,4541,14391
B0103,09,172,District - Fatehpur,Rural,Literate,1298742,790476,508266,371753,322204,49549,192564,123228,69336,89042,69777,19265,734425,345044,389381,61837,35733,26104
B0103,09,172,District - Fatehpur,Rural,Literate but below matric/secondary,916970,534196,382774,211783,180770,31013,131676,82309,49367,59159,45998,13161,573511,271117,302394,30613,16588,14025
B0103,09,172,District - Fatehpur,Rural,Matric/secondary but below graduate,267308,177855,89453,104342,93917,10425,41777,28462,13315,20443,16428,4015,121189,55476,65713,22311,13511,8800
B0103,09,172,District - Fatehpur,Rural,Technical diploma or certificate not equal to degree,739,648,91,348,323,25,69,62,7,41,38,3,322,263,59,107,92,15
B0103,09,172,District - Fatehpur,Rural,Graduate and above other than technical degree,63328,45814,17514,34001,29813,4188,8865,6191,2674,4794,3817,977,20462,9810,10652,6240,3988,2252
B0103,09,172,District - Fatehpur,Rural,Technical degree or diploma equal to degree or post-graduate degree,4076,3336,740,2198,1925,273,383,317,66,217,194,23,1495,1094,401,572,451,121
B0103,09,172,District - Fatehpur,Urban,Total,321993,169032,152961,75446,65794,9652,23669,15376,8293,11538,8719,2819,222878,87862,135016,24569,12868,11701
B0103,09,172,District - Fatehpur,Urban,Illiterate,108569,48505,60064,17137,13311,3826,9458,4854,4604,4239,2815,1424,81974,30340,51634,4504,1722,2782
B0103,09,172,District - Fatehpur,Urban,Literate,213424,120527,92897,58309,52483,5826,14211,10522,3689,7299,5904,1395,140904,57522,83382,20065,11146,8919
B0103,09,172,District - Fatehpur,Urban,Literate but below matric/secondary,107757,58843,48914,20964,19206,1758,7343,5399,1944,3727,3068,659,79450,34238,45212,6361,3581,2780
B0103,09,172,District - Fatehpur,Urban,Matric/secondary but below graduate,59744,33679,26065,16950,15573,1377,3944,2995,949,2088,1699,389,38850,15111,23739,7730,4307,3423
B0103,09,172,District - Fatehpur,Urban,Technical diploma or certificate not equal to degree,325,277,48,159,147,12,10,9,1,2,2,0,156,121,35,58,46,12
B0103,09,172,District - Fatehpur,Urban,Graduate and above other than technical degree,32774,19729,13045,15066,13052,2014,1831,1290,541,964,710,254,15877,5387,10490,4623,2401,2222
B0103,09,172,District - Fatehpur,Urban,Technical degree or diploma equal to degree or post-graduate degree,2848,1986,862,1471,1185,286,142,97,45,83,63,20,1235,704,531,476,315,161
B0103,09,173,District - Pratapgarh,Total,Total,3209141,1606085,1603056,553013,419908,133105,513588,284661,228927,233512,152763,80749,2142540,901516,1241024,186547,92118,94429
B0103,09,173,District - Pratapgarh,Total,Illiterate,1277582,484704,792878,173473,96401,77072,214689,75312,139377,86270,38242,48028,889420,312991,576429,43502,10157,33345
B0103,09,173,District - Pratapgarh,Total,Literate,1931559,1121381,810178,379540,323507,56033,298899,209349,89550,147242,114521,32721,1253120,588525,664595,143045,81961,61084
B0103,09,173,District - Pratapgarh,Total,Literate but below matric/secondary,1202844,662862,539982,176454,147210,29244,166785,112883,53902,79315,60795,18520,859605,402769,456836,57940,30400,27540
B0103,09,173,District - Pratapgarh,Total,Matric/secondary but below graduate,497779,307683,190096,121988,107529,14459,87945,64878,23067,45643,36389,9254,287846,135276,152570,59116,35183,23933
B0103,09,173,District - Pratapgarh,Total,Technical diploma or certificate not equal to degree,1614,1458,156,539,506,33,197,182,15,119,112,7,878,770,108,313,289,24
B0103,09,173,District - Pratapgarh,Total,Graduate and above other than technical degree,130949,91482,39467,51865,45189,6676,22576,17369,5207,12445,10063,2382,56508,28924,27584,18548,11959,6589
B0103,09,173,District - Pratapgarh,Total,Technical degree or diploma equal to degree or post-graduate degree,10414,8236,2178,4879,4213,666,1220,1000,220,690,575,115,4315,3023,1292,1659,1231,428
B0103,09,173,District - Pratapgarh,Rural,Total,3033899,1515583,1518316,516398,389344,127054,496990,274420,222570,225104,147133,77971,2020511,851819,1168692,171082,84129,86953
B0103,09,173,District - Pratapgarh,Rural,Illiterate,1224265,462227,762038,166367,91314,75053,210284,73346,136938,84254,37151,47103,847614,297567,550047,41072,9313,31759
B0103,09,173,District - Pratapgarh,Rural,Literate,1809634,1053356,756278,350031,298030,52001,286706,201074,85632,140850,109982,30868,1172897,554252,618645,130010,74816,55194
B0103,09,173,District - Pratapgarh,Rural,Literate but below matric/secondary,1144032,631400,512632,166162,138292,27870,161549,109278,52271,76643,58810,17833,816321,383830,432491,54007,28298,25709
B0103,09,173,District - Pratapgarh,Rural,Matric/secondary but below graduate,462137,287683,174454,113041,99677,13364,84104,62325,21779,43570,34975,8595,264992,125681,139311,53817,32219,21598
B0103,09,173,District - Pratapgarh,Rural,Technical diploma or certificate not equal to degree,1350,1232,118,407,388,19,170,159,11,110,104,6,773,685,88,271,254,17
B0103,09,173,District - Pratapgarh,Rural,Graduate and above other than technical degree,112958,80496,32462,44820,39163,5657,20587,16009,4578,11368,9317,2051,47551,25324,22227,15689,10443,5246
B0103,09,173,District - Pratapgarh,Rural,Technical degree or diploma equal to degree or post-graduate degree,8380,6845,1535,3922,3463,459,1027,868,159,582,501,81,3431,2514,917,1334,1015,319
B0103,09,173,District - Pratapgarh,Urban,Total,175242,90502,84740,36615,30564,6051,16598,10241,6357,8408,5630,2778,122029,49697,72332,15465,7989,7476
B0103,09,173,District - Pratapgarh,Urban,Illiterate,53317,22477,30840,7106,5087,2019,4405,1966,2439,2016,1091,925,41806,15424,26382,2430,844,1586
B0103,09,173,District - Pratapgarh,Urban,Literate,121925,68025,53900,29509,25477,4032,12193,8275,3918,6392,4539,1853,80223,34273,45950,13035,7145,5890
B0103,09,173,District - Pratapgarh,Urban,Literate but below matric/secondary,58812,31462,27350,10292,8918,1374,5236,3605,1631,2672,1985,687,43284,18939,24345,3933,2102,1831
B0103,09,173,District - Pratapgarh,Urban,Matric/secondary but below graduate,35642,20000,15642,8947,7852,1095,3841,2553,1288,2073,1414,659,22854,9595,13259,5299,2964,2335
B0103,09,173,District - Pratapgarh,Urban,Technical diploma or certificate not equal to degree,264,226,38,132,118,14,27,23,4,9,8,1,105,85,20,42,35,7
B0103,09,173,District - Pratapgarh,Urban,Graduate and above other than technical degree,17991,10986,7005,7045,6026,1019,1989,1360,629,1077,746,331,8957,3600,5357,2859,1516,1343
B0103,09,173,District - Pratapgarh,Urban,Technical degree or diploma equal to degree or post-graduate degree,2034,1391,643,957,750,207,193,132,61,108,74,34,884,509,375,325,216,109
B0103,09,174,District - Kaushambi,Total,Total,1599596,838485,761111,415312,292462,122850,223774,110182,113592,101425,62239,39186,960510,435841,524669,57803,30441,27362
B0103,09,174,District - Kaushambi,Total,Illiterate,786172,331206,454966,190686,101759,88927,123192,41447,81745,52956,23877,29079,472294,188000,284294,18380,5273,13107
B0103,09,174,District - Kaushambi,Total,Literate,813424,507279,306145,224626,190703,33923,100582,68735,31847,48469,38362,10107,488216,247841,240375,39423,25168,14255
B0103,09,174,District - Kaushambi,Total,Literate but below matric/secondary,543756,321820,221936,113796,94738,19058,59939,39853,20086,28361,22235,6126,370021,187229,182792,18655,11238,7417
B0103,09,174,District - Kaushambi,Total,Matric/secondary but below graduate,177597,122686,54911,70068,62102,7966,25596,18722,6874,12825,10527,2298,81933,41862,40071,14341,9566,4775
B0103,09,174,District - Kaushambi,Total,Technical diploma or certificate not equal to degree,404,366,38,166,155,11,32,27,5,23,19,4,206,184,22,70,65,5
B0103,09,174,District - Kaushambi,Total,Graduate and above other than technical degree,37848,28028,9820,19984,17398,2586,4740,3508,1232,2414,1995,419,13124,7122,6002,3383,2372,1011
B0103,09,174,District - Kaushambi,Total,Technical degree or diploma equal to degree or post-graduate degree,2994,2434,560,1592,1386,206,299,234,65,154,127,27,1103,814,289,341,276,65
B0103,09,174,District - Kaushambi,Rural,Total,1475140,773335,701805,385172,268545,116627,212926,103839,109087,96851,59182,37669,877042,400951,476091,52155,27039,25116
B0103,09,174,District - Kaushambi,Rural,Illiterate,736098,309155,426943,181090,95593,85497,118363,39212,79151,50858,22703,28155,436645,174350,262295,17091,4668,12423
B0103,09,174,District - Kaushambi,Rural,Literate,739042,464180,274862,204082,172952,31130,94563,64627,29936,45993,36479,9514,440397,226601,213796,35064,22371,12693
B0103,09,174,District - Kaushambi,Rural,Literate but below matric/secondary,502618,298862,203756,105301,87535,17766,57030,37883,19147,27109,21274,5835,340287,173444,166843,17142,10270,6872
B0103,09,174,District - Kaushambi,Rural,Matric/secondary but below graduate,156109,109882,46227,62758,55632,7126,23756,17423,6333,12088,9965,2123,69595,36827,32768,12521,8408,4113
B0103,09,174,District - Kaushambi,Rural,Technical diploma or certificate not equal to degree,361,327,34,147,136,11,29,24,5,21,17,4,185,167,18,62,59,3
B0103,09,174,District - Kaushambi,Rural,Graduate and above other than technical degree,31399,23848,7551,16978,14754,2224,4184,3139,1045,2159,1817,342,10237,5955,4282,2714,1959,755
B0103,09,174,District - Kaushambi,Rural,Technical degree or diploma equal to degree or post-graduate degree,2555,2123,432,1368,1207,161,263,212,51,132,112,20,924,704,220,285,233,52
B0103,09,174,District - Kaushambi,Urban,Total,124456,65150,59306,30140,23917,6223,10848,6343,4505,4574,3057,1517,83468,34890,48578,5648,3402,2246
B0103,09,174,District - Kaushambi,Urban,Illiterate,50074,22051,28023,9596,6166,3430,4829,2235,2594,2098,1174,924,35649,13650,21999,1289,605,684
B0103,09,174,District - Kaushambi,Urban,Literate,74382,43099,31283,20544,17751,2793,6019,4108,1911,2476,1883,593,47819,21240,26579,4359,2797,1562
B0103,09,174,District - Kaushambi,Urban,Literate but below matric/secondary,41138,22958,18180,8495,7203,1292,2909,1970,939,1252,961,291,29734,13785,15949,1513,968,545
B0103,09,174,District - Kaushambi,Urban,Matric/secondary but below graduate,21488,12804,8684,7310,6470,840,1840,1299,541,737,562,175,12338,5035,7303,1820,1158,662
B0103,09,174,District - Kaushambi,Urban,Technical diploma or certificate not equal to degree,43,39,4,19,19,0,3,3,0,2,2,0,21,17,4,8,6,2
B0103,09,174,District - Kaushambi,Urban,Graduate and above other than technical degree,6449,4180,2269,3006,2644,362,556,369,187,255,178,77,2887,1167,1720,669,413,256
B0103,09,174,District - Kaushambi,Urban,Technical degree or diploma equal to degree or post-graduate degree,439,311,128,224,179,45,36,22,14,22,15,7,179,110,69,56,43,13
B0103,09,175,District - Allahabad ,Total,Total,5954391,3131807,2822584,1286732,981133,305599,825175,444977,380198,363576,240619,122957,3842484,1705697,2136787,345689,185667,160022
B0103,09,175,District - Allahabad ,Total,Illiterate,2288664,932467,1356197,391496,214633,176863,346420,117183,229237,134403,62491,71912,1550748,600651,950097,69002,19273,49729
B0103,09,175,District - Allahabad ,Total,Literate,3665727,2199340,1466387,895236,766500,128736,478755,327794,150961,229173,178128,51045,2291736,1105046,1186690,276687,166394,110293
B0103,09,175,District - Allahabad ,Total,Literate but below matric/secondary,1943395,1095770,847625,326624,273365,53259,225641,149784,75857,102963,80120,22843,1391130,672621,718509,84237,46613,37624
B0103,09,175,District - Allahabad ,Total,Matric/secondary but below graduate,1002216,638795,363421,290265,259009,31256,147285,106267,41018,74761,59387,15374,564666,273519,291147,114270,71148,43122
B0103,09,175,District - Allahabad ,Total,Technical diploma or certificate not equal to degree,7083,6371,712,3158,3002,156,738,660,78,398,368,30,3187,2709,478,997,879,118
B0103,09,175,District - Allahabad ,Total,Graduate and above other than technical degree,402861,265913,136948,171821,148900,22921,52281,37965,14316,27195,20988,6207,178759,79048,99711,49832,29943,19889
B0103,09,175,District - Allahabad ,Total,Technical degree or diploma equal to degree or post-graduate degree,46013,34299,11714,20535,16971,3564,4529,3400,1129,2511,1928,583,20949,13928,7021,7229,5265,1964
B0103,09,175,District - Allahabad ,Rural,Total,4481518,2340959,2140559,934718,691121,243597,685629,358785,326844,295763,195335,100428,2861171,1291053,1570118,211257,113057,98200
B0103,09,175,District - Allahabad ,Rural,Illiterate,1896599,753876,1142723,330872,172950,157922,311531,99624,211907,118311,53038,65273,1254196,481302,772894,51342,12050,39292
B0103,09,175,District - Allahabad ,Rural,Literate,2584919,1587083,997836,603846,518171,85675,374098,259161,114937,177452,142297,35155,1606975,809751,797224,159915,101007,58908
B0103,09,175,District - Allahabad ,Rural,Literate but below matric/secondary,1540494,879222,661272,256127,213259,42868,189209,126123,63086,85822,67861,17961,1095158,539840,555318,58521,32772,25749
B0103,09,175,District - Allahabad ,Rural,Matric/secondary but below graduate,670893,449105,221788,201450,180381,21069,114681,84651,30030,57435,47398,10037,354762,184073,170689,67637,44636,23001
B0103,09,175,District - Allahabad ,Rural,Technical diploma or certificate not equal to degree,3717,3435,282,1361,1313,48,471,437,34,272,262,10,1885,1685,200,623,577,46
B0103,09,175,District - Allahabad ,Rural,Graduate and above other than technical degree,175465,133219,42246,80406,72341,8065,30342,23900,6442,16369,14011,2358,64717,36978,27739,19766,14166,5600
B0103,09,175,District - Allahabad ,Rural,Technical degree or diploma equal to degree or post-graduate degree,14271,11910,2361,6548,5795,753,1626,1355,271,899,786,113,6097,4760,1337,2204,1829,375
B0103,09,175,District - Allahabad ,Urban,Total,1472873,790848,682025,352014,290012,62002,139546,86192,53354,67813,45284,22529,981313,414644,566669,134432,72610,61822
B0103,09,175,District - Allahabad ,Urban,Illiterate,392065,178591,213474,60624,41683,18941,34889,17559,17330,16092,9453,6639,296552,119349,177203,17660,7223,10437
B0103,09,175,District - Allahabad ,Urban,Literate,1080808,612257,468551,291390,248329,43061,104657,68633,36024,51721,35831,15890,684761,295295,389466,116772,65387,51385
B0103,09,175,District - Allahabad ,Urban,Literate but below matric/secondary,402901,216548,186353,70497,60106,10391,36432,23661,12771,17141,12259,4882,295972,132781,163191,25716,13841,11875
B0103,09,175,District - Allahabad ,Urban,Matric/secondary but below graduate,331323,189690,141633,88815,78628,10187,32604,21616,10988,17326,11989,5337,209904,89446,120458,46633,26512,20121
B0103,09,175,District - Allahabad ,Urban,Technical diploma or certificate not equal to degree,3366,2936,430,1797,1689,108,267,223,44,126,106,20,1302,1024,278,374,302,72
B0103,09,175,District - Allahabad ,Urban,Graduate and above other than technical degree,227396,132694,94702,91415,76559,14856,21939,14065,7874,10826,6977,3849,114042,42070,71972,30066,15777,14289
B0103,09,175,District - Allahabad ,Urban,Technical degree or diploma equal to degree or post-graduate degree,31742,22389,9353,13987,11176,2811,2903,2045,858,1612,1142,470,14852,9168,5684,5025,3436,1589
B0103,09,176,District - Bara Banki,Total,Total,3260699,1707073,1553626,834294,677923,156371,358556,193318,165238,157890,108111,49779,2067849,835832,1232017,128611,54018,74593
B0103,09,176,District - Bara Banki,Total,Illiterate,1568241,696555,871686,347157,246153,101004,186556,77371,109185,76512,43682,32830,1034528,373031,661497,43696,10515,33181
B0103,09,176,District - Bara Banki,Total,Literate,1692458,1010518,681940,487137,431770,55367,172000,115947,56053,81378,64429,16949,1033321,462801,570520,84915,43503,41412
B0103,09,176,District - Bara Banki,Total,Literate but below matric/secondary,1189377,689663,499714,283079,250854,32225,116865,78243,38622,54015,43145,10870,789433,360566,428867,44736,22135,22601
B0103,09,176,District - Bara Banki,Total,Matric/secondary but below graduate,292511,187612,104899,111447,101784,9663,30321,21429,8892,15019,12047,2972,150743,64399,86344,24774,13567,11207
B0103,09,176,District - Bara Banki,Total,Technical diploma or certificate not equal to degree,1074,937,137,464,437,27,71,65,6,39,36,3,539,435,104,155,134,21
B0103,09,176,District - Bara Banki,Total,Graduate and above other than technical degree,86653,57664,28989,45054,39194,5860,7588,5529,2059,3946,3134,812,34011,12941,21070,8452,4356,4096
B0103,09,176,District - Bara Banki,Total,Technical degree or diploma equal to degree or post-graduate degree,5994,4479,1515,3036,2556,480,402,299,103,203,168,35,2556,1624,932,832,590,242
B0103,09,176,District - Bara Banki,Rural,Total,2929896,1533455,1396441,753692,608862,144830,335163,177807,157356,146873,100050,46823,1841041,746786,1094255,109461,45016,64445
B0103,09,176,District - Bara Banki,Rural,Illiterate,1436272,634154,802118,321759,225737,96022,176145,71194,104951,71641,40265,31376,938368,337223,601145,39242,8861,30381
B0103,09,176,District - Bara Banki,Rural,Literate,1493624,899301,594323,431933,383125,48808,159018,106613,52405,75232,59785,15447,902673,409563,493110,70219,36155,34064
B0103,09,176,District - Bara Banki,Rural,Literate but below matric/secondary,1082547,630744,451803,261106,230847,30259,109833,73104,36729,50561,40388,10173,711608,326793,384815,39380,19414,19966
B0103,09,176,District - Bara Banki,Rural,Matric/secondary but below graduate,244589,161199,83390,97045,88901,8144,27292,19318,7974,13550,11029,2521,120252,52980,67272,19661,10999,8662
B0103,09,176,District - Bara Banki,Rural,Technical diploma or certificate not equal to degree,732,639,93,282,264,18,60,56,4,33,31,2,390,319,71,115,100,15
B0103,09,176,District - Bara Banki,Rural,Graduate and above other than technical degree,60793,42684,18109,32959,29023,3936,6096,4473,1623,3333,2731,602,21738,9188,12550,5671,3086,2585
B0103,09,176,District - Bara Banki,Rural,Technical degree or diploma equal to degree or post-graduate degree,3604,2836,768,1854,1623,231,268,205,63,138,120,18,1482,1008,474,463,339,124
B0103,09,176,District - Bara Banki,Urban,Total,330803,173618,157185,80602,69061,11541,23393,15511,7882,11017,8061,2956,226808,89046,137762,19150,9002,10148
B0103,09,176,District - Bara Banki,Urban,Illiterate,131969,62401,69568,25398,20416,4982,10411,6177,4234,4871,3417,1454,96160,35808,60352,4454,1654,2800
B0103,09,176,District - Bara Banki,Urban,Literate,198834,111217,87617,55204,48645,6559,12982,9334,3648,6146,4644,1502,130648,53238,77410,14696,7348,7348
B0103,09,176,District - Bara Banki,Urban,Literate but below matric/secondary,106830,58919,47911,21973,20007,1966,7032,5139,1893,3454,2757,697,77825,33773,44052,5356,2721,2635
B0103,09,176,District - Bara Banki,Urban,Matric/secondary but below graduate,47922,26413,21509,14402,12883,1519,3029,2111,918,1469,1018,451,30491,11419,19072,5113,2568,2545
B0103,09,176,District - Bara Banki,Urban,Technical diploma or certificate not equal to degree,342,298,44,182,173,9,11,9,2,6,5,1,149,116,33,40,34,6
B0103,09,176,District - Bara Banki,Urban,Graduate and above other than technical degree,25860,14980,10880,12095,10171,1924,1492,1056,436,613,403,210,12273,3753,8520,2781,1270,1511
B0103,09,176,District - Bara Banki,Urban,Technical degree or diploma equal to degree or post-graduate degree,2390,1643,747,1182,933,249,134,94,40,65,48,17,1074,616,458,369,251,118
B0103,09,177,District - Faizabad,Total,Total,2470996,1259628,1211368,496579,404279,92300,334630,193609,141021,154881,109080,45801,1639787,661740,978047,126169,56598,69571
B0103,09,177,District - Faizabad,Total,Illiterate,1020095,421289,598806,165239,111499,53740,147561,61149,86412,61743,34107,27636,707295,248641,458654,31565,6715,24850
B0103,09,177,District - Faizabad,Total,Literate,1450901,838339,612562,331340,292780,38560,187069,132460,54609,93138,74973,18165,932492,413099,519393,94604,49883,44721
B0103,09,177,District - Faizabad,Total,Literate but below matric/secondary,902726,503968,398758,156648,138112,18536,109190,76547,32643,53624,43513,10111,636888,289309,347579,37740,19016,18724
B0103,09,177,District - Faizabad,Total,Matric/secondary but below graduate,335926,201006,134920,90817,82533,8284,46605,33661,12944,23632,18921,4711,198504,84812,113692,34937,19256,15681
B0103,09,177,District - Faizabad,Total,Technical diploma or certificate not equal to degree,1797,1608,189,762,715,47,181,167,14,111,102,9,854,726,128,280,253,27
B0103,09,177,District - Faizabad,Total,Graduate and above other than technical degree,122909,78133,44776,52851,45675,7176,15774,11597,4177,8580,6798,1782,54284,20861,33423,15685,8253,7432
B0103,09,177,District - Faizabad,Total,Technical degree or diploma equal to degree or post-graduate degree,10945,7876,3069,5314,4436,878,921,711,210,525,408,117,4710,2729,1981,1680,1044,636
B0103,09,177,District - Faizabad,Rural,Total,2130743,1079257,1051486,416288,335020,81268,308648,175974,132674,141763,99858,41905,1405807,568263,837544,99335,42707,56628
B0103,09,177,District - Faizabad,Rural,Illiterate,921414,376185,545229,151139,100747,50392,139850,56457,83393,58021,31560,26461,630425,218981,411444,28203,5357,22846
B0103,09,177,District - Faizabad,Rural,Literate,1209329,703072,506257,265149,234273,30876,168798,119517,49281,83742,68298,15444,775382,349282,426100,71132,37350,33782
B0103,09,177,District - Faizabad,Rural,Literate but below matric/secondary,793442,444751,348691,136030,119602,16428,101050,70768,30282,49445,40442,9003,556362,254381,301981,31326,15411,15915
B0103,09,177,District - Faizabad,Rural,Matric/secondary but below graduate,269044,163425,105619,71570,64994,6576,41928,30374,11554,21140,17195,3945,155546,68057,87489,26044,14369,11675
B0103,09,177,District - Faizabad,Rural,Technical diploma or certificate not equal to degree,1151,1053,98,408,387,21,143,135,8,87,82,5,600,531,69,205,186,19
B0103,09,177,District - Faizabad,Rural,Graduate and above other than technical degree,79439,53164,26275,34532,30068,4464,12591,9431,3160,6885,5717,1168,32316,13665,18651,9511,5332,4179
B0103,09,177,District - Faizabad,Rural,Technical degree or diploma equal to degree or post-graduate degree,5860,4552,1308,2881,2516,365,570,471,99,333,287,46,2409,1565,844,853,567,286
B0103,09,177,District - Faizabad,Urban,Total,340253,180371,159882,80291,69259,11032,25982,17635,8347,13118,9222,3896,233980,93477,140503,26834,13891,12943
B0103,09,177,District - Faizabad,Urban,Illiterate,98681,45104,53577,14100,10752,3348,7711,4692,3019,3722,2547,1175,76870,29660,47210,3362,1358,2004
B0103,09,177,District - Faizabad,Urban,Literate,241572,135267,106305,66191,58507,7684,18271,12943,5328,9396,6675,2721,157110,63817,93293,23472,12533,10939
B0103,09,177,District - Faizabad,Urban,Literate but below matric/secondary,109284,59217,50067,20618,18510,2108,8140,5779,2361,4179,3071,1108,80526,34928,45598,6414,3605,2809
B0103,09,177,District - Faizabad,Urban,Matric/secondary but below graduate,66882,37581,29301,19247,17539,1708,4677,3287,1390,2492,1726,766,42958,16755,26203,8893,4887,4006
B0103,09,177,District - Faizabad,Urban,Technical diploma or certificate not equal to degree,646,555,91,354,328,26,38,32,6,24,20,4,254,195,59,75,67,8
