stcode11,ac_no,st_name,ac_name,pc_name,Households,Population,Males,Females,SCPopulation,MaleSCPopulation,FemaleSCPopulation,STPopulation,MaleSTPopulation,FemaleSTPopulation,Literates,MaleLiterates,FemaleLiterates,Illiterates,MaleLiterates,FemaleIlliterates,TotalWorkers,FulltimeWorkers,MaleFulltimeWorkers,FemaleFulltimeWorkers,ParttimeWorkers,AgriculturalWorkers,DilapidatedHouses,HouseholdswithAccesstoTap,HouseholdswithElectricLighting,HouseholdswithKerosene,HouseholdswithIndoorToilets,HouseholdswithFirewood,HouseholdswithLPG,HouseholdswithTV,HouseholdswithMobile,Householdswith2wheelers,Householdswith4wheelers
22,1,CHHATTISGARH,Bharatpur-Sonhat,Korba,47827,198519,100531,97988,12928,6492,6436,110435,55443,54992,113560,65570,47990,84959,34961,49998,99530,47635,33952,13683,51895,73756,1257,5879,18267,25375,8837,41376,3969,7262,9909,4820,870
22,10,CHHATTISGARH,Ambikapur,Sarguja,61109,276082,140499,135582,15280,7841,7438,114279,57386,56892,161996,92196,69800,114085,48303,65781,121883,75213,57206,18007,46670,82162,1159,8495,36030,24289,18584,46274,11535,18597,18565,12453,2442
22,11,CHHATTISGARH,Sitapur,Sarguja,60095,265674,133171,132503,10346,5112,5234,196278,97917,98360,125374,73163,52210,140300,60007,80292,142186,78260,59725,18534,63926,130264,1348,1069,32762,26462,20155,57349,1288,5961,10664,4561,522
22,12,CHHATTISGARH,Jashpur,Raigarh,67145,303936,153053,150883,14127,7111,7016,205249,102654,102595,174653,99581,75072,129283,53472,75811,181344,98204,68582,29622,83140,154166,919,1838,20814,39520,8252,63027,3003,7748,11478,5966,966
22,13,CHHATTISGARH,Kunkuri,Raigarh,59123,256705,127275,129429,11275,5583,5692,137755,67656,70099,156815,87758,69057,99890,39517,60372,145205,81532,56751,24780,63672,126086,1169,1252,25321,33177,6803,56252,1797,5948,10431,4573,656
22,14,CHHATTISGARH,Pathalgaon,Raigarh,67685,297209,147482,149727,23887,11835,12051,191337,94390,96946,167131,95223,71907,130077,52258,77819,164574,113918,75240,38678,50656,147771,1199,1768,32799,34544,13202,62597,2239,7721,11889,5541,919
22,15,CHHATTISGARH,Lailunga,Raigarh,63562,261992,131153,130839,22997,11507,11490,145734,72256,73478,155462,89481,65981,106530,41672,64858,131384,89603,65879,23724,41781,108663,1325,1668,42877,20407,9342,60256,2049,12015,12159,7269,920
22,16,CHHATTISGARH,Raigarh,Raigarh,82690,337858,171579,166279,55048,27472,27575,53078,26494,26584,242704,134835,107869,95154,36743,58410,134455,107121,83541,23580,27333,74636,4803,13857,75001,7248,28184,62405,15122,33407,28019,17201,2174
22,17,CHHATTISGARH,Sarangarh,Raigarh,80968,317054,158049,159005,87859,43643,44216,51270,25326,25944,200076,114640,85436,116978,43409,73569,156536,107993,73209,34784,48543,138177,5544,2039,69785,10678,10972,76123,2154,21113,16340,8651,900
22,18,CHHATTISGARH,Kharsia,Raigarh,73265,293047,147986,145060,38964,19487,19477,75866,37599,38266,198692,113240,85451,94354,34746,59608,117643,85186,66425,18760,32457,81282,3116,5606,69121,3709,14815,61795,7298,24281,21301,12157,1484
22,19,CHHATTISGARH,Dharamjaigarh,Raigarh,66675,280198,139630,140568,19839,9901,9938,177369,87666,89703,152690,89364,63326,127508,50266,77242,147843,93452,63989,29463,54391,127092,1819,2195,45275,20729,9183,62467,2784,10789,10856,6577,783
22,2,CHHATTISGARH,Manendragarh,Korba,36628,166748,85600,81148,18659,9545,9114,57689,28935,28754,108014,62045,45969,58734,23555,35179,61102,44602,35575,9027,16500,25990,443,18279,26294,10120,16274,16780,13783,18399,17549,11458,1189
22,20,CHHATTISGARH,Rampur,Korba,75868,313136,156758,156378,35289,17801,17487,157346,77845,79500,182381,107041,75340,130755,49716,81038,149293,82114,58356,23757,67179,119220,2843,5262,55770,16325,12365,68401,4433,17659,13277,8283,819
22,21,CHHATTISGARH,Korba,Korba,29621,130022,67467,62554,17334,8885,8449,13363,6763,6600,94867,53207,41659,35154,14259,20895,43144,39095,32572,6522,4049,1782,355,11375,27578,107,18188,7583,12175,20528,16707,11641,2251
22,22,CHHATTISGARH,Katghora,Korba,66277,289652,147786,141865,37567,19133,18433,75954,37859,38094,195328,111462,83866,94323,36324,57999,113517,85601,65291,20309,27915,56894,1862,12536,57100,7863,23249,38078,15325,30517,25327,18222,2840
22,23,CHHATTISGARH,Pali-Tanakhar,Korba,76734,330805,166452,164352,16052,8110,7942,221735,111097,110638,172589,102657,69931,158216,63795,94421,168864,103551,69946,33605,65313,149967,1722,3215,36390,35099,9720,74119,1404,8332,9041,4576,391
22,24,CHHATTISGARH,Marwahi,Korba,73923,281332,140412,140920,18280,9218,9061,163407,80873,82534,155643,90351,65291,125689,50060,75629,150003,81790,57192,24598,68212,117227,1591,2714,59932,13232,28206,70916,2088,11345,10004,4659,404
22,25,CHHATTISGARH,Kota,Bilaspur,66941,275470,139502,135968,30616,15603,15013,115123,57716,57406,159706,94136,65569,115763,45365,70398,134484,83873,54691,29181,50610,97813,2500,9131,54832,11029,12662,61196,4319,15442,13094,5577,552
22,26,CHHATTISGARH,Lormi,Bilaspur,63388,272424,137692,134732,73552,37364,36188,40462,20085,20377,140907,85612,55295,131517,52080,79437,135112,97153,58472,38681,37959,121012,4514,1221,46568,14332,7525,57610,1026,9320,10524,3628,344
22,27,CHHATTISGARH,Mungeli,Bilaspur,67091,300395,152548,147847,93013,47154,45859,17394,8701,8693,166089,99680,66409,134306,52868,81437,140310,106968,66048,40919,33341,121967,4783,4187,54734,12001,12159,55366,3257,14415,13794,5032,628
22,28,CHHATTISGARH,Takhatpur,Bilaspur,60812,291973,148856,143117,62717,32111,30605,35646,17776,17870,173670,102865,70805,118302,45990,72312,128064,95758,62943,32815,32305,98297,2533,5667,51516,5847,10227,53209,2944,19218,14102,6348,513
22,29,CHHATTISGARH,Bilha,Bilaspur,87397,410593,208857,201736,87249,44288,42960,38436,19009,19426,255786,148035,107750,154807,60821,93985,174887,132770,90415,42355,42116,103288,3586,9541,57658,10443,15317,58844,5740,22665,17721,7702,804
22,3,CHHATTISGARH,Baikunthpur,Korba,46568,199997,101392,98605,15380,7735,7645,83749,42065,41684,123281,71518,51763,76716,29874,46842,98568,55843,41985,13858,42725,75538,769,6093,26685,19749,8709,36145,7497,11045,13977,8377,1068
22,30,CHHATTISGARH,Bilaspur,Bilaspur,35388,166180,85614,80566,22926,11780,11145,8035,4082,3953,126902,69135,57766,39278,16478,22800,57250,53385,42283,11102,3865,1811,222,3524,7387,257,4747,3993,3399,4924,3833,2693,604
22,31,CHHATTISGARH,Beltara,Bilaspur,67850,314863,161300,153563,72508,36893,35615,29420,14801,14618,213261,121520,91741,101601,39779,61821,125241,92416,67869,24546,32825,62125,2134,5659,39891,4165,10256,38929,3395,15313,10323,5312,751
22,32,CHHATTISGARH,Masturi,Bilaspur,68084,305150,153851,151299,84951,43144,41807,40707,20236,20470,176568,104945,71623,128581,48905,79675,138613,71296,50353,20942,67317,115201,3307,3936,57233,10095,9735,55307,1922,18348,14304,5781,740
22,33,CHHATTISGARH,Akaltara,Janjgir-Champa,68700,299313,152227,147086,77743,39402,38341,45768,23005,22763,189172,111547,77625,110141,40680,69461,156998,81967,56237,25730,75031,127356,3499,4586,59403,8910,10860,60061,3693,19650,14735,6705,525
22,34,CHHATTISGARH,Janjgir-Champa,Janjgir-Champa,53837,256339,130280,126058,55919,28279,27639,9606,4860,4746,169852,98469,71383,86486,31811,54675,120349,78964,55802,23161,41385,83295,2862,5461,49264,4257,13514,43688,7205,23788,19316,9325,1038
22,35,CHHATTISGARH,Sakti,Janjgir-Champa,64109,282744,142578,140166,45880,23088,22792,50863,25258,25604,182688,106158,76529,100056,36419,63636,141160,81994,58537,23457,59165,106166,3245,4380,58511,5105,10857,57148,4676,24537,17790,7630,678
22,36,CHHATTISGARH,Chandrapur,Janjgir-Champa,63361,251253,125508,125745,60420,30058,30362,43242,21373,21869,157013,90307,66706,94240,35201,59039,131248,62664,45379,17285,68584,105031,3763,1845,58125,5004,8581,59386,1366,18253,15443,6880,702
22,37,CHHATTISGARH,Jaijaipur,Janjgir-Champa,64814,297830,148281,149549,85248,42557,42691,30138,14869,15269,177629,103087,74542,120201,45194,75007,174601,81019,53588,27431,93582,159350,3375,1847,58655,5801,5867,61087,802,20809,18183,6050,494
22,38,CHHATTISGARH,Pamgarh,Janjgir-Champa,52678,245840,123745,122095,77937,38966,38971,9523,4762,4761,151209,88880,62329,94631,34865,59766,128467,77707,50719,26988,50760,108382,2955,2131,46337,5980,7278,46341,1621,17395,15348,5441,519
22,39,CHHATTISGARH,Saraipali,Mahasamund,63504,250777,124690,126087,41479,20489,20990,67142,33213,33929,158958,89899,69059,91819,34791,57028,118941,76691,54774,21917,42250,104588,2782,1433,52484,10534,9545,57822,2054,14149,13885,7614,991
22,4,CHHATTISGARH,Premnagar,Sarguja,66793,299174,150450,148724,17421,8748,8672,127041,63458,63582,151969,89194,62774,147205,61255,85950,150413,84890,60920,23970,65523,131100,1064,3215,34730,31699,7369,57642,3377,9347,14259,7421,998
22,40,CHHATTISGARH,Basna,Mahasamund,60074,245874,121594,124280,26183,12848,13335,73206,36009,37197,152194,86347,65847,93680,35247,58433,119747,78618,56205,22413,41129,105847,2340,2026,50477,9241,11356,56084,1592,14349,14927,7416,679
22,41,CHHATTISGARH,Khallari,Mahasamund,60070,248919,122548,126371,27385,13516,13869,81502,39667,41835,144527,84091,60436,104392,38457,65935,126141,86692,53474,33218,39449,110281,2662,1366,47176,12385,10587,55278,1813,13667,11207,5273,486
22,42,CHHATTISGARH,Mahasamund,Mahasamund,57885,257151,128350,128801,40449,20179,20270,50753,25001,25752,162729,92935,69794,94422,35415,59007,121463,89351,59270,30081,32112,88214,3271,5654,49954,7568,13678,47837,6900,22213,18055,9533,1143
22,43,CHHATTISGARH,Bilaigarh,Janjgir-Champa,72663,323355,161320,162035,84157,41821,42336,37609,18485,19124,193732,113646,80086,129623,47674,81949,146700,79148,53194,25954,67552,127390,5367,3714,56639,15450,9324,68198,2434,17866,16894,6535,548
22,44,CHHATTISGARH,Kasdol,Janjgir-Champa,77150,387628,192688,194940,95438,47736,47701,37099,18090,19008,231202,136203,94998,156426,56485,99941,182813,108776,66215,42561,74036,167324,5214,3637,59468,16287,8225,69701,1316,21631,18584,6972,567
22,45,CHHATTISGARH,Baloda Bazar,Raipur,76489,376367,189056,187310,76797,38402,38395,39376,19491,19885,239396,137051,102345,136970,52004,84965,165365,115276,77501,37774,50089,118042,3181,5749,66615,9073,18164,59462,7860,32009,26129,13902,1574
22,46,CHHATTISGARH,Bhatapara,Raipur,62687,309967,155101,154866,57575,28896,28679,44774,21984,22790,184595,106747,77848,125372,48354,77018,137262,100660,65453,35207,36602,100935,2691,8871,55101,7289,15035,48252,5761,21541,17731,7567,740
22,47,CHHATTISGARH,Dharsiwa,Raipur,59298,285769,145178,140590,54395,27351,27044,11117,5643,5473,180817,103644,77173,104952,41534,63417,122286,88083,64017,24065,34203,74692,2240,5856,54428,4537,15028,42728,4800,29952,22533,11380,1027
22,48,CHHATTISGARH,Raipur Rural,Raipur,207877,984355,505283,479071,140350,70609,69741,44225,22611,21614,712193,391796,320397,272161,113486,158674,360298,324526,254664,69861,35772,38862,5900,90709,199733,6794,134949,77224,107300,149815,113236,81721,18501
22,49,CHHATTISGARH,Raipur City West,Raipur,21061,98822,50732,48090,12599,6325,6273,4273,2183,2090,74084,40303,33780,24738,10428,14309,36216,33468,26343,7124,2747,1043,569,11352,20430,505,15586,6613,13185,16154,12026,9309,2338
22,5,CHHATTISGARH,Bhatgaon,Sarguja,73420,323406,163930,159475,19496,9834,9661,133705,67467,66238,168708,99031,69676,154697,64898,89798,154569,73410,54414,18996,81158,131851,1435,4502,40325,31978,8580,62660,5506,12709,17039,10560,1266
22,50,CHHATTISGARH,Raipur City North,Raipur,16398,76942,39499,37442,9809,4925,4884,3327,1700,1627,57681,31380,26301,19260,8119,11141,28197,26057,20510,5547,2139,812,443,8839,15906,394,12135,5149,10265,12578,9363,7248,1820
22,51,CHHATTISGARH,Raipur City South,Raipur,24039,112793,57904,54888,14380,7220,7160,4878,2492,2385,84558,46001,38556,28235,11902,16332,41336,38199,30067,8132,3136,1190,649,12957,23318,577,17789,7548,15049,18438,13726,10625,2668
22,52,CHHATTISGARH,Arang,Raipur,51803,249765,125521,124243,68569,34300,34269,8110,4059,4050,154365,88284,66080,95399,37236,58162,114547,82541,53519,29021,32005,97498,3475,2127,46555,4855,8440,37346,1950,20969,16485,8041,570
22,53,CHHATTISGARH,Abhanpur,Raipur,44708,218910,109567,109343,38394,19143,19250,11620,5695,5925,144134,80937,63197,74776,28630,46146,98337,71697,48619,23077,26640,73683,2248,5627,40943,3490,8407,30696,3699,20222,14853,8275,842
22,54,CHHATTISGARH,Rajim,Mahasamund,67526,295351,146416,148935,31339,15582,15756,73652,35985,37666,193248,108453,84795,102103,37962,64140,144338,107641,65254,42387,36696,124463,3247,4555,55768,11368,11709,59387,2917,21295,15542,9090,703
22,55,CHHATTISGARH,Bindranawagarh,Mahasamund,78178,296369,146454,149914,28660,14096,14564,134020,65817,68202,156214,94374,61839,140155,52080,88074,154973,71799,47456,24343,83173,139379,5546,2097,39156,35376,4849,72340,799,6702,6264,3741,294
22,56,CHHATTISGARH,Sihawa,Kanker,54378,237069,116859,120210,10888,5427,5461,120694,59126,61568,155386,87226,68160,81683,29633,52050,129898,108550,62528,46022,21348,114160,1844,4829,45398,8154,12962,51372,1381,14036,10782,6495,503
22,57,CHHATTISGARH,Kurud,Mahasamund,51189,256157,128340,127817,24738,12210,12528,23066,11460,11606,174657,97142,77515,81500,31198,50302,128813,107717,64125,43592,21096,110935,1980,1941,47651,3332,13925,41083,2075,24601,17851,10755,687
22,58,CHHATTISGARH,Dhamtari,Mahasamund,59191,277270,138197,139073,21827,10713,11114,47542,23436,24106,198829,109337,89492,78441,28860,49581,127268,104148,67017,37131,23120,77790,2970,17602,53701,4899,22421,44533,11402,28977,21202,13343,1930
22,59,CHHATTISGARH,Sanjari Balod,Kanker,56201,263689,130807,132882,17114,8388,8726,58042,28226,29816,191346,104503,86843,72343,26304,46039,136678,102299,61288,41011,34379,114748,2198,4834,50927,4935,17432,50716,3711,23889,19649,11269,840
22,6,CHHATTISGARH,Pratappur,Sarguja,69245,307170,155504,151665,15155,7687,7467,186957,93869,93087,149210,88598,60612,157959,66905,91053,147708,62978,47735,15243,84729,130653,1493,2363,27778,40679,11525,66275,1653,6169,12681,5592,781
22,60,CHHATTISGARH,Dondi Lohara,Kanker,58161,265796,130407,135389,19485,9487,9998,138734,67697,71037,184081,101582,82499,81715,28825,52890,135711,101389,60597,40792,34322,107091,1844,6335,47486,10425,10761,51894,5424,18556,16408,9401,965
22,61,CHHATTISGARH,Gunderdehi,Kanker,59514,289777,144001,145776,31739,15721,16018,54390,26640,27750,205990,113701,92289,83787,30300,53487,149565,112379,66439,45940,37186,131699,3132,3571,52165,7089,10970,54069,1530,23961,19716,10269,772
22,62,CHHATTISGARH,Patan,Durg,84785,397482,201053,196429,59953,29915,30038,31931,16130,15801,279309,155446,123863,118172,45606,72565,169115,129550,93748,35801,39565,91041,2746,10225,64588,5510,18655,45986,10258,36990,26912,17239,1446
22,63,CHHATTISGARH,Durg-Rural,Durg,51759,241584,122459,119125,31274,15635,15639,14437,7317,7120,172551,95816,76734,69033,26642,42391,101297,84913,61197,23715,16384,42532,1542,9716,40348,2774,13961,26171,7279,22464,15412,10702,1558
22,64,CHHATTISGARH,Durg City,Durg,68857,320860,163911,156948,40101,20186,19915,15341,7751,7590,247984,134689,113294,72875,29221,43653,112255,105982,83751,22230,6273,4175,741,26730,41196,1318,28308,6123,21073,32030,23348,18427,4234
22,65,CHHATTISGARH,Bhilai Nagar,Durg,39626,183438,94491,88946,25893,13106,12787,9184,4702,4481,141333,77400,63932,42104,17090,25013,59987,57221,47449,9772,2766,757,32,68,538,6,163,23,87,390,330,84,5
22,66,CHHATTISGARH,Vaishali Nagar,Durg,47856,221683,114098,107585,30943,15654,15288,11053,5652,5400,170879,93499,77380,50803,20598,30204,72980,69535,57386,12149,3445,1047,86,1969,3459,99,2177,422,1586,2668,2000,1390,305
22,67,CHHATTISGARH,Ahiwara,Durg,54848,258231,130855,127376,45302,22620,22681,14530,7358,7172,177694,99600,78093,80536,31254,49282,103337,83894,63591,20302,19442,46517,1534,5803,39939,4707,11582,23518,5664,23247,16782,10781,1041
22,68,CHHATTISGARH,Saja,Durg,60887,304254,151840,152414,33605,16732,16872,18810,9413,9396,183776,105505,78270,120478,46334,74143,153996,127757,73669,54087,26239,136730,3479,4401,50264,10174,8342,51675,1482,20713,18956,8823,789
22,69,CHHATTISGARH,Bemetara,Durg,56653,290399,144943,145456,45295,22652,22643,8964,4405,4559,174942,100395,74547,115457,44548,70909,146924,108056,66688,41368,38868,124633,2685,2426,48969,7413,8673,44780,3010,22732,19137,9087,799
22,7,CHHATTISGARH,Ramanujganj,Sarguja,54666,255817,130222,125595,10141,5158,4983,143376,72478,70898,120443,71751,48692,135374,58471,76903,122527,68506,51621,16885,54021,109383,1108,1294,13520,40572,24891,53322,990,3642,9175,3454,395
22,70,CHHATTISGARH,Nawagarh,Durg,64534,315351,158057,157294,79045,39832,39213,15000,7351,7649,180403,106307,74096,134948,51750,83198,155077,126351,70393,55958,28726,144555,4706,1731,50628,13652,4902,57994,838,15511,16854,5432,558
22,71,CHHATTISGARH,Pandariya,Rajnandgaon,83983,399303,200478,198824,67107,33949,33158,72819,36099,36720,197571,119795,77776,201731,80683,121048,195582,155755,89065,66690,39826,176913,5256,1397,70316,11842,9847,71929,1395,15883,18935,7016,471
22,72,CHHATTISGARH,Kawardha,Rajnandgaon,93552,419304,209617,209687,52640,26174,26466,91756,45264,46492,214941,127719,87222,204363,81898,122465,206433,159495,93098,66397,46938,174507,5597,8548,81112,10878,14010,83289,5295,21005,21548,10720,1062
22,73,CHHATTISGARH,Khairagarh,Rajnandgaon,55641,269955,133923,136032,29049,14328,14721,33140,16290,16850,160336,91270,69066,109619,42653,66966,141399,113142,64291,48851,28257,121421,2256,8340,48055,7097,10677,51166,2458,16679,14145,6771,638
22,74,CHHATTISGARH,Dongargarh,Rajnandgaon,57248,278284,138330,139954,36760,17938,18822,38233,18759,19474,179202,100160,79042,99082,38170,60912,143447,113470,67016,46454,29977,113345,1733,6049,51401,5409,15660,50809,4708,23032,19287,8744,659
22,75,CHHATTISGARH,Rajnandgaon,Rajnandgaon,56082,263295,132316,130979,32825,16221,16604,16550,8132,8418,193324,104939,88385,69971,27377,42594,111300,93138,66541,26597,18162,39919,1541,25932,53010,2893,24585,34908,16278,32550,24445,15252,2129
22,76,CHHATTISGARH,Dongargaon,Rajnandgaon,53077,256811,127417,129394,22192,10795,11397,60341,29561,30780,169947,94639,75308,86864,32778,54086,138910,99377,58516,40861,39533,118335,2182,2385,47796,4998,12010,50656,1710,16900,14750,6471,580
22,77,CHHATTISGARH,Khujji,Rajnandgaon,48639,238624,116992,121631,21317,10452,10864,102902,49886,53015,156353,86597,69755,82270,30394,51875,133142,84999,50411,34588,48143,120506,1595,1341,41358,7104,9256,47140,986,10564,10446,4303,359
22,78,CHHATTISGARH,Mohla-Manpur,Rajnandgaon,46803,225528,111581,113947,13319,6666,6653,154649,75715,78934,146233,82095,64138,79295,29486,49809,129859,89830,50922,38907,40028,117694,864,1824,35600,10254,7522,45573,864,7412,5112,3521,331
22,79,CHHATTISGARH,Antagarh,Kanker,24180,119132,60144,58988,4658,2311,2347,77686,38674,39012,63164,37037,26127,55968,23107,32861,60127,43910,28042,15868,16217,50959,898,1182,13157,9909,3728,23021,804,4346,3593,2478,242
22,8,CHHATTISGARH,Samri,Sarguja,63703,290968,146719,144248,12234,6162,6072,212222,106400,105821,137061,80642,56418,153907,66077,87830,147832,83187,56556,26630,64645,132471,1621,1600,23326,39434,5110,62173,1050,5496,10730,4289,537
22,80,CHHATTISGARH,Bhanupratappur,Kanker,59404,269519,133133,136386,14980,7418,7562,162287,79327,82960,169041,94908,74133,100478,38225,62253,146529,110292,66181,44111,36237,120071,814,644,42663,16249,10088,56178,2450,12017,12077,6268,606
22,81,CHHATTISGARH,Kanker,Kanker,50202,223513,109874,113639,10139,4977,5162,127853,62380,65473,145702,80705,64997,77811,29169,48642,120641,82640,51639,31001,38001,96410,1221,2098,40708,9251,12323,44088,4743,14813,13643,7924,940
22,82,CHHATTISGARH,Keshkal,Kanker,55441,263818,129687,134131,9424,4671,4753,194582,95075,99507,129742,76073,53669,134076,53614,80462,162089,69952,50114,19838,92137,124146,1481,618,23667,31571,3532,54220,817,5472,8210,4066,416
22,83,CHHATTISGARH,Kondagaon,Bastar,50904,243281,119603,123678,10128,5008,5120,167061,81610,85451,115419,68347,47071,127862,51255,76606,127408,80744,52882,27862,46663,108571,1464,1412,24224,26312,6475,46710,3030,7491,8861,5319,624
22,84,CHHATTISGARH,Narayanpur,Bastar,52270,246129,122653,123475,8482,4233,4248,168871,83344,85526,104108,62007,42101,142020,60646,81374,123639,65342,46233,19108,58297,106153,1815,2077,22125,28710,5639,49400,1970,6892,7124,3876,408
22,85,CHHATTISGARH,Bastar,Bastar,61134,266640,132651,133989,4783,2370,2413,171027,84558,86469,120826,72739,48087,145814,59912,85902,135592,69370,54665,14705,66222,116716,2295,2016,38827,21992,10069,59133,1228,7687,7826,4954,400
22,86,CHHATTISGARH,Jagdalpur,Bastar,57649,252264,126679,125585,8082,3985,4097,110750,54989,55761,150132,84334,65798,102132,42345,59787,101605,74613,57433,17180,26992,40572,1675,21103,42858,12745,37945,38517,16666,24853,19664,14962,2444
22,87,CHHATTISGARH,Chitrakot,Bastar,53253,235301,114589,120712,1281,658,623,188449,91395,97054,72329,43515,28814,162972,71074,91898,123370,62021,44970,17051,61349,113436,2118,861,16923,35482,2525,51786,642,3041,4861,2378,274
22,88,CHHATTISGARH,Dantewada,Bastar,63669,277268,137163,140105,10156,5180,4976,195573,94681,100892,115198,68809,46389,162070,68354,93716,141137,89608,60550,29058,51529,105288,1641,10461,27076,32269,14182,52807,9199,13278,13037,8606,1508
22,89,CHHATTISGARH,Bijapur,Bastar,37997,177045,89611,87434,7386,3759,3627,141100,70406,70694,62181,38605,23576,114864,51006,63858,90535,44926,30128,14798,45609,76359,1551,891,9572,23424,2388,34144,1037,3676,3669,2286,276
22,9,CHHATTISGARH,Lundra,Sarguja,67930,301067,152125,148941,13812,6848,6963,169711,85319,84391,150201,87027,63174,150865,65098,85767,150175,85969,63501,22467,64205,126465,1467,3878,42920,24107,33173,60966,4445,12390,14881,8210,1222
22,90,CHHATTISGARH,Konta,Bastar,51463,230654,114413,116241,2769,1433,1335,189361,92690,96670,71860,44920,26939,158794,69492,89301,129641,84747,53455,31291,44893,114326,1939,1672,17084,29369,3788,44752,1702,4167,5734,2555,389
